,Unnamed: 0,Name,Team,Pos,Nationality,CTteam,Height,Weight,MinutesPlayedPG,ptsPG,rebPG,astPG,toPG,stlPG,blkPG,pfPG,TotalGames,TotalMinutesPlayed,2ptsPercentage,3ptsPercentage,ftPercentage,fgPercentage,2ptsM_PG,2ptsA_PG,3ptsM_PG,3ptsA_PG,ftM_PG,ftA_PG,fgM_PG,fgA_PG,Totalpts,TotalREB,TotalAst,TotalTO,TotalSTL,TotalBLK,TotalPF,EFF,eFG,TS,TOV,C,F,G
170,170,王志群,臺北達欣工程,G,1,0,180,85,24,8.6,2.8,2.7,1.8,1.4,0,1.8,208,5002,0.5097,0.3361,0.7598,0.4004,1.4,2.7,1.6,4.6,1.2,1.6,2.9,7.3,1798,576,556,376,281,6,368,8.9,0.506849315,0.537231384,0.183598531,0,0,1
171,171,陳山眉,富邦勇士,G,1,0,193,86,12,3.3,2.8,1.7,1.2,0.7,0.2,0.9,30,372,0.4592,0,0.3,0.4018,1.5,3.3,0,0.5,0.3,1,1.5,3.7,99,83,50,36,22,5,28,4.6,0.405405405,0.398550725,0.224719101,0,0,1
172,172,鍾秀鼐,富邦勇士,F,1,0,196,95,6,1.4,0.8,0.2,0.6,0.3,0.2,0.6,39,238,0.3404,0.1111,0.5,0.2568,0.4,1.2,0.1,0.7,0.3,0.7,0.5,1.9,54,33,7,22,11,7,24,0.5,0.289473684,0.317028986,0.213675214,0,1,0
173,173,林宗慶,富邦勇士,F,1,0,188,92,13,4.7,1.6,0.8,0.8,0.4,0,1.2,269,3474,0.439,0.2566,0.5782,0.3904,1.5,3.5,0.3,1.3,0.7,1.3,1.8,4.7,1277,425,222,205,102,3,336,3.2,0.414893617,0.445751138,0.131752306,0,1,0
174,174,蔡政憲,富邦勇士,C,1,0,197,97,5,1.3,1.3,0,0.6,0.1,0.1,1,24,118,0.48,0,0.6667,0.48,0.5,1,0,0,0.3,0.5,0.5,1,32,32,1,15,3,3,24,1.5,0.5,0.532786885,0.32967033,1,0,0
175,175,劉育辰,金門酒廠,F,1,0,190,91,10,2.3,1.5,0.2,0.3,0.5,0.1,1.2,30,289,0.5185,0.4,0.3333,0.5,0.9,1.8,0.1,0.3,0.1,0.2,1.1,2.1,70,46,7,9,15,4,35,3.2,0.547619048,0.52559415,0.120578778,0,1,0
176,176,楊哲宜,金門酒廠,F,1,1,193,85,26,10.4,3.2,1.8,1.6,0.9,0.1,1.9,329,8411,0.4993,0.3043,0.6134,0.4308,3.1,6.1,1,3.3,1.3,2.1,4.1,9.4,3438,1054,597,514,291,19,633,8.7,0.489361702,0.503680744,0.13418316,0,1,0
177,177,巴羅,金門酒廠,C,0,0,208,115,37,24.4,14.5,0.9,2.5,1.2,1.6,1.4,29,1070,0.5219,0.2326,0.6525,0.4991,9,17.3,0.3,1.5,5.3,8.1,9.4,18.8,708,421,27,73,35,47,41,27.9,0.507978723,0.545519585,0.100546976,1,0,0
178,178,許皓程,金門酒廠,G,1,0,176,75,23,5.3,3.1,2.9,1.5,1.1,0,1.7,320,7344,0.445,0.2723,0.7226,0.3791,1.3,3,0.5,1.9,1.1,1.6,1.8,4.9,1706,1000,915,466,341,7,551,7.3,0.418367347,0.472876517,0.211148649,0,0,1
179,179,邱繼緯,金門酒廠,G,1,0,176,76,4,0.6,0.5,0.3,0.4,0.2,0,0.3,36,150,0.1429,0.2941,0.1667,0.2258,0.1,0.4,0.1,0.5,0,0.2,0.2,0.9,20,17,9,16,7,0,12,0.3,0.277777778,0.303643725,0.288184438,0,0,1
180,180,陶斯,璞園建築,C,0,0,208,120,32,19.2,15.2,1.5,2.8,1.2,2.3,1.7,60,1898,0.5371,0.25,0.6711,0.5333,7.8,14.6,0.1,0.2,3.4,5.1,7.9,14.8,1153,913,92,168,72,140,103,28,0.537162162,0.563248064,0.141100585,1,0,0
181,181,劉錚,台灣啤酒,G,1,1,192,80,30,14.1,5.8,2,2.6,2.4,0.6,2.1,134,4010,0.4628,0.2786,0.7175,0.4003,3.9,8.5,1.2,4.4,2.6,3.6,5.2,12.9,1893,781,274,349,321,78,277,13.6,0.449612403,0.486743993,0.152189183,0,0,1
182,182,王建惟,台灣啤酒,F,1,0,191,92,9,2.8,1.8,0.4,0.6,0.3,0.1,1.9,251,2255,0.5152,0.375,0.4752,0.494,1,2,0.1,0.4,0.4,0.8,1.1,2.3,703,459,91,148,87,35,469,3.2,0.5,0.527903469,0.184501845,0,1,0
183,183,鄭人維,台灣啤酒,F,1,1,194,95,24,10.2,5,1.4,1.9,1,0.8,2.6,260,6254,0.4225,0.3268,0.6789,0.3887,2.6,6.1,1.1,3.3,1.8,2.6,3.7,9.4,2645,1302,376,492,267,200,683,10,0.45212766,0.483687405,0.152684024,0,1,0
184,184,謝鎮陽,台灣啤酒,F,1,0,192,95,1,0.3,0.3,0,0,0,0,0.2,12,15,0.6667,0,0,0.4,0.2,0.3,0,0.2,0,0.2,0.2,0.4,4,4,0,0,0,0,2,0.2,0.5,0.307377049,0,0,1,0
185,185,陳志忠,裕隆納智捷,G,1,0,188,75,27,9.7,3.5,3.5,1.8,1.2,0.1,2.2,286,7832,0.484,0.3648,0.7106,0.4329,2.2,4.6,1.3,3.4,1.5,2,3.5,8,2762,997,1003,517,357,38,635,11.2,0.51875,0.546171171,0.168539326,0,0,1
186,186,林傑閔,裕隆納智捷,G,1,0,182,83,9,3.1,1.3,0.8,1.1,0.4,0,1,96,860,0.4126,0.2857,0.6593,0.3759,0.9,2.1,0.3,0.9,0.6,0.9,1.1,3,302,121,78,101,39,4,96,2.3,0.416666667,0.456419317,0.244661922,0,0,1
187,187,劉丁維,裕隆納智捷,G,1,0,183,82,2,0.1,0.3,0,0.3,0.1,0.1,0.2,11,22,0,0,0.5,0,0,0.4,0,0.1,0.1,0.2,0,0.5,1,3,0,3,1,1,2,-0.3,0,0.085034014,0.337837838,0,0,1
188,188,泰勒,裕隆納智捷,C,0,0,218,143,34,16.3,16.6,1.6,3.1,0.8,2.7,2.6,38,1293,0.5068,0,0.4008,0.5049,6.8,13.5,0,0.1,2.7,6.6,6.8,13.6,621,629,62,119,31,104,97,24.2,0.5,0.49381968,0.158130994,1,0,0
